Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1,43,1,9080,1,5,142.6,1,1,15,3,3,147.7,1,0,0,1,0,0,24,0,0,6,10,0,11.87579936,0,0,6,8,0,14.9154993,0,9.4,-0.1,2.28,1
2,1,1,9436,1,1,139.3,1,38,34,9,8,112.4,1,0,0,1,0,1,21,0,0,5,4,14,10.98201,0,0,7,12,4,14.29282405,0,7.6,-0.8,-0.44,1
1,41,1,9369,1,29,123.6,1,37,38,8,8,130.7,1,0,0,1,0,0,42,0,0,7,0,7,8.71926649,0,0,8,10,4,12.4127385,0,14.6,1.5,3.51,1
1,47,1,9991,1,1,126.7,1,39,35,5,9,130.9,1,0,0,1,0,0,18,0,0,0,7,19,10.36521755,0,0,6,5,6,8.33e-06,0,7.6,-0.8,2.1,1
1,1,1,9567,1,25,139.7,1,22,33,9,6,150.5,1,0,0,1,0,0,56,0,0,6,7,0,10.991162,0,0,6,5,0,12.85288531,0,12.0,2.9,-4.06,1
1,1,1,9043,1,42,139.3,1,40,19,9,8,130.7,0,0,0,1,1,0,23,0,0,6,0,8,10.13678433,0,0,6,15,7,9.14389698,0,10.3,-0.8,1.95,1
1,44,1,9120,0,1,132.5,1,39,1,5,10,135.2,1,0,0,1,0,0,26,0,0,6,6,1,13.59501056,0,0,6,13,6,11.4270884,0,12.4,0.6,2.38,1
1,1,1,9395,1,1,138.7,1,22,37,9,10,128.9,1,0,0,1,0,0,30,0,0,6,8,3,9.21343256,0,0,8,8,5,9.81614143,0,12.5,1.4,-4.06,1
1,2,1,9482,0,13,136.2,1,37,37,8,11,128.0,1,0,0,1,0,0,19,0,0,7,6,3,7.94629544,0,0,0,8,5,11.94021378,0,12.5,1.6,1.53,1
1,43,1,9028,1,1,139.3,1,1,35,8,10,129.9,1,0,0,1,0,0,20,0,0,6,8,6,9.49345089,0,0,5,9,6,1.694e-05,12,7.6,1.0,-1.12,1
1,41,2,9608,1,1,133.5,1,1,1,9,11,110.8,0,0,0,1,0,0,22,0,0,8,5,3,8.93918622,0,0,5,9,6,3.7e-07,2,12.9,2.9,0.52,1
1,1,1,8898,1,1,142.9,1,21,36,10,8,133.1,1,0,0,1,1,0,20,0,0,5,8,0,9.31672329,0,0,6,6,0,13.54789727,0,12.8,1.7,-0.05,1
1,36,1,9399,1,1,129.3,1,35,1,8,8,107.5,1,0,0,1,0,0,19,0,0,6,4,3,9.87863088,0,0,5,15,0,13.98168011,0,11.5,0.8,3.51,1
1,32,2,7955,1,1,123.3,1,40,35,8,10,124.8,1,0,0,1,1,0,39,0,0,5,6,8,12.63120266,0,0,6,7,2,11.00446156,0,11.8,3.7,2.32,1
3,1,1,9101,1,1,106.9,1,19,34,3,9,128.2,1,0,0,1,0,0,18,0,0,0,8,1,9.05773008,0,0,6,9,0,15.47041288,0,11.9,2.8,-0.54,1
2,13,1,9344,1,1,132.5,1,5,16,9,5,117.4,1,0,0,1,0,1,45,0,0,6,0,0,3.7e-07,0,6,8,12,3,3.774e-05,0,12.3,-0.8,-2.83,0
1,41,1,9455,1,1,131.1,1,40,1,1,8,123.9,1,0,0,1,1,1,19,0,0,6,8,8,9.9769499,0,2,6,13,3,7.3e-07,0,7.6,-0.8,1.82,1
1,2,1,9991,1,1,142.2,1,33,36,1,5,120.9,1,0,0,1,0,0,19,0,0,7,6,7,11.16007813,0,0,5,7,3,14.10743651,4,12.9,0.7,-2.55,1
1,15,1,9445,1,29,145.4,1,39,3,4,6,104.0,0,0,0,1,0,1,19,0,2,6,7,3,10.39218251,0,0,5,9,0,14.4449956,0,10.9,0.0,-4.06,1
1,1,1,9991,1,1,137.6,1,36,35,8,9,121.6,0,0,0,1,0,0,31,0,0,7,8,7,9.45585986,0,2,6,8,0,13.48117048,0,11.1,3.7,3.51,1
1,1,1,9075,1,1,139.1,1,36,34,8,6,131.5,1,0,1,1,1,0,18,0,0,6,8,9,9.6058163,0,0,6,4,3,12.39066852,2,10.5,2.6,1.33,1
1,18,1,9778,1,1,130.4,1,20,19,9,7,95.8,1,0,0,1,0,1,19,0,0,6,12,5,12.17228683,0,0,14,7,4,11.89921952,0,7.6,3.1,3.51,1
1,32,1,8873,1,1,124.0,1,1,34,9,6,115.0,1,0,0,1,0,0,19,0,0,6,7,6,9.34165953,0,0,6,14,4,15.72869776,0,11.8,3.7,-4.06,1
1,41,1,9431,1,1,134.6,1,37,1,8,8,104.9,1,0,0,1,0,0,32,0,0,6,7,6,11.99833532,0,0,5,10,3,14.25956533,0,12.3,-0.3,-2.9,1
1,32,1,7636,1,30,130.0,1,34,3,1,11,114.3,1,0,0,1,0,0,20,0,0,6,7,6,6.46679539,0,0,6,8,0,14.31859147,0,14.1,1.0,3.51,0
1,1,1,9125,1,1,125.2,1,33,34,3,11,115.1,1,0,0,1,0,0,29,0,0,6,10,6,7.94e-06,0,4,12,12,4,1.86e-06,0,11.6,0.9,1.68,1
1,5,1,9258,1,1,124.6,1,22,33,3,8,104.8,0,0,0,1,0,0,20,0,0,9,10,8,10.54628184,0,2,6,11,0,13.65263749,0,12.1,2.8,1.95,1
1,1,1,9419,1,1,142.9,1,39,1,4,6,128.0,1,0,1,1,0,0,18,0,0,6,8,0,11.8900602,0,0,5,8,0,13.26949422,0,7.6,3.7,2.06,1
1,7,1,9991,1,1,143.9,1,39,17,8,4,102.2,1,0,0,1,0,0,21,0,0,6,9,3,10.05964804,0,0,6,12,4,15.43323688,0,10.9,0.2,2.33,1
1,37,1,7415,1,1,143.5,1,36,20,9,0,96.4,0,0,0,1,0,0,18,0,0,6,7,7,11.691609,0,0,15,6,0,12.97517391,0,10.8,1.7,2.28,1
1,1,1,8956,1,31,128.3,1,37,1,4,11,136.3,0,0,0,1,0,0,24,0,0,6,6,4,12.42938303,0,0,6,10,11,14.26831413,0,12.3,-0.8,-3.5,0
1,1,1,9675,0,1,138.9,1,23,37,8,10,127.2,1,0,0,1,0,0,41,0,0,6,8,8,10.91190124,0,0,8,7,4,10.10402432,0,12.8,-0.8,-0.69,1
2,1,1,8911,1,1,137.8,1,1,37,3,9,114.0,1,0,0,1,0,0,19,0,0,6,6,5,9.34221276,1,0,6,11,0,13.43334588,0,8.5,1.7,2.28,1
1,1,1,9000,1,1,134.1,1,1,1,5,11,135.8,1,0,0,1,0,1,18,0,0,6,7,2,9.60381644,0,0,0,0,3,7.73e-06,0,11.8,2.4,-1.39,1
1,39,2,9991,1,15,145.4,1,1,1,9,6,102.3,1,0,0,1,0,0,34,0,0,6,4,5,4.7e-07,0,0,6,0,4,11.33387042,0,7.6,-0.8,0.28,1
1,19,1,9474,1,1,143.1,1,38,35,8,12,120.0,1,0,0,1,0,0,41,0,0,0,6,4,11.99243201,0,0,6,7,0,13.36455258,3,13.5,-0.8,3.51,1
1,1,1,9507,1,34,139.6,1,36,1,3,11,100.5,0,0,0,1,0,0,20,0,0,5,6,4,9.48178227,0,0,6,9,5,10.4347151,0,10.4,-0.3,1.42,1
1,1,1,9442,0,1,127.5,1,40,38,6,11,132.1,0,0,0,1,0,1,43,0,0,6,8,12,4.2e-07,0,0,6,0,6,16.34396298,1,13.2,1.5,-0.09,0
1,1,1,9644,1,1,143.7,1,38,37,9,10,130.7,1,0,0,1,0,0,57,0,0,6,5,7,10.78140297,0,0,5,14,3,11.34279709,0,12.8,0.4,-0.57,1
1,43,2,9042,1,1,145.4,1,40,1,71,11,102.0,1,0,0,1,1,0,18,0,0,6,8,6,8.66258637,0,0,6,9,3,14.73909214,0,10.3,3.0,-0.51,1
2,45,1,9508,1,1,139.6,1,3,2,3,11,128.0,1,0,0,1,0,0,36,0,7,5,10,5,9.25183902,0,0,6,5,2,13.71969064,0,10.5,-0.3,-4.06,1
1,45,1,9423,1,1,129.3,1,33,19,5,11,120.5,1,0,0,1,0,0,18,0,0,6,0,0,2.22e-06,0,4,6,19,0,10.97399966,0,8.7,-0.1,-0.73,1
2,10,4,9468,1,1,137.5,1,38,37,1,11,116.2,1,0,0,1,1,0,47,0,0,8,8,5,13.47856873,0,0,5,20,6,11.42530492,0,10.2,1.4,2.02,0
1,22,1,8978,1,1,126.4,1,39,16,8,11,114.3,0,0,1,1,0,0,23,0,0,6,6,8,8.23754369,0,0,8,4,3,13.06925991,0,10.9,2.9,0.97,1
1,32,2,9021,0,1,135.5,1,4,1,8,7,105.5,1,0,0,1,1,0,56,0,0,6,6,0,11.4219434,0,0,8,0,6,14.45555285,0,15.0,1.8,2.05,0
1,14,1,8038,1,1,135.2,1,4,34,9,4,124.7,1,0,0,1,0,0,19,0,0,6,7,5,1.37e-06,0,0,8,18,4,10.60482287,0,13.1,3.7,2.06,1
1,1,1,9470,1,1,138.2,1,39,1,8,9,110.6,1,0,0,1,0,0,19,0,0,5,0,5,9.61283827,0,0,0,20,4,11.32676344,0,10.2,0.4,1.14,1
1,1,1,9148,1,1,143.4,1,39,36,2,7,126.9,1,0,0,1,0,0,20,0,0,6,11,1,12.77490786,0,0,6,15,3,15.04821971,0,8.8,2.8,-0.96,1
1,44,1,8941,1,1,139.7,1,39,35,4,9,121.4,1,0,0,1,0,1,19,0,0,6,8,7,9.83604757,0,0,0,14,3,12.43003889,0,10.3,-0.8,1.74,1
1,34,1,9043,1,1,131.6,1,38,39,5,9,98.2,1,0,1,1,0,0,29,0,0,6,6,5,9.1e-07,0,0,6,22,0,14.74490247,0,11.0,-0.8,-4.06,1
1,3,1,8977,1,1,129.3,1,24,37,9,7,105.1,1,0,0,1,0,0,22,0,0,5,8,7,10.15400731,0,0,5,7,4,12.08049197,0,11.9,3.0,3.51,1
2,1,1,44,1,1,136.9,1,40,21,9,9,106.3,1,0,0,1,0,0,18,0,0,6,8,7,8.88052736,0,0,6,17,0,14.94347934,0,8.7,3.7,2.15,1
1,44,1,8923,1,10,144.4,1,10,15,8,9,115.4,1,0,0,1,0,0,41,0,0,5,10,9,13.83261484,0,0,5,0,5,9.19492671,2,11.0,1.1,3.51,1
1,35,1,8931,1,1,141.1,1,6,35,8,10,105.5,1,0,0,1,1,0,29,0,0,5,8,21,8.19557197,0,0,5,7,3,13.52651715,0,9.7,-0.2,2.11,1
1,36,1,9443,1,1,189.9,1,38,35,5,3,110.0,1,0,0,1,0,0,57,0,0,5,0,3,11.05685114,0,0,6,8,1,11.11305244,0,12.3,1.6,0.99,1
1,19,1,9398,1,39,130.4,1,18,3,9,10,124.0,0,0,0,1,0,0,44,0,0,8,7,13,12.41302879,0,15,6,8,2,8.70163474,0,9.8,3.0,-4.06,1
1,1,1,9991,1,1,189.5,1,39,37,1,10,115.1,1,0,0,1,0,0,29,0,0,6,9,12,8.71454091,0,0,5,6,6,9.94833359,0,7.6,-0.8,2.22,1
1,1,1,8829,1,1,147.4,1,4,33,3,9,131.8,1,0,0,1,0,0,30,0,0,5,7,0,1.07e-06,0,0,5,17,3,11.68131003,0,7.6,-0.1,-1.92,1
1,43,1,9437,1,1,123.8,1,1,2,8,139,99.3,1,0,0,1,0,0,36,0,0,6,5,0,2.47e-06,0,0,0,11,3,13.56139416,0,12.2,1.4,1.94,1
1,1,1,8885,1,1,134.5,1,34,35,8,7,112.4,1,0,0,1,0,0,21,0,0,6,8,7,1.5e-06,0,0,8,7,1,10.97059395,0,12.3,-0.8,2.22,1
1,17,1,8936,1,1,137.4,1,3,15,0,10,116.7,1,0,0,1,0,0,63,0,0,6,7,2,12.15618193,0,0,5,7,3,11.70111018,3,7.6,1.4,-3.14,1
1,16,1,9416,1,1,134.8,1,36,1,6,9,131.5,0,0,0,1,0,0,18,0,0,5,7,5,10.95253161,0,0,7,30,3,11.77563401,0,9.0,-0.8,0.38,1
1,1,1,8904,1,1,142.4,1,34,33,8,8,114.7,1,1,0,1,0,0,18,0,0,8,0,4,10.31221277,0,0,6,0,0,11.39052268,0,15.3,-0.8,3.51,1
1,36,1,8906,1,1,142.6,1,4,35,6,7,117.2,1,0,1,1,1,0,61,0,0,6,8,1,9e-08,0,19,6,7,5,11.02581039,0,10.7,-0.8,1.12,1
1,42,1,7810,1,35,134.8,1,39,37,3,9,112.7,1,0,0,1,0,0,19,0,0,6,9,5,11.252003,0,5,7,19,1,12.38632227,0,12.6,3.7,-4.06,1
1,43,1,9493,1,43,190.0,1,40,18,3,8,123.3,1,0,0,1,0,1,44,0,0,6,11,6,11.18677211,0,0,5,7,0,10.12819786,4,8.8,-0.3,1.46,1
1,1,1,9400,1,1,124.9,1,38,36,9,4,104.4,1,0,0,1,0,1,18,0,0,5,5,2,8.92240702,0,0,6,10,1,15.43189964,0,13.1,3.7,-4.06,1
1,43,1,9280,1,1,144.3,1,36,34,3,6,120.5,1,0,0,0,0,1,29,0,0,6,7,7,13.81568094,0,0,8,8,0,9.95612019,0,7.6,-0.2,2.19,1
2,3,1,9991,1,1,134.8,1,39,1,3,7,115.4,0,0,0,0,0,0,27,0,0,6,0,4,10.62512981,0,0,12,9,1,12.29928167,4,10.7,1.5,0.12,1
1,1,3,9334,1,1,126.7,1,38,2,9,8,102.6,1,0,0,1,0,1,18,0,0,0,8,7,10.19173947,0,0,6,0,4,12.18447887,0,12.9,1.3,-4.06,1
4,42,1,9503,1,1,144.0,1,40,1,4,11,133.7,1,0,0,1,1,0,19,0,0,5,7,2,8.48374757,0,0,7,9,5,10.60466905,0,12.7,0.9,3.51,1
1,37,1,9460,1,1,138.8,1,40,38,8,12,114.9,1,0,0,1,0,0,61,0,0,0,0,8,9.56520204,0,0,0,11,4,14.45342593,0,10.7,-0.8,-4.06,1
1,45,2,9463,1,1,137.4,1,39,38,1,7,130.2,1,0,0,1,0,0,18,0,0,8,9,7,11.12187945,0,0,6,15,5,15.56188261,0,7.6,-0.1,-4.06,0
2,1,1,9549,1,1,138.5,1,40,33,4,9,121.4,1,0,0,1,0,0,43,0,0,6,9,7,11.50298588,0,0,12,7,5,13.05428966,0,7.6,3.1,-2.86,1
1,34,1,9008,1,1,128.3,1,38,37,9,11,121.7,0,0,0,1,0,0,61,0,0,6,10,2,4.7e-07,0,0,5,8,0,11.08507029,0,10.5,0.7,1.33,1
1,1,1,9383,1,1,136.7,1,38,1,2,7,106.0,1,0,0,1,0,0,36,0,0,0,9,7,14.01183609,0,0,6,11,5,11.04653874,0,7.6,1.2,1.6,1
1,1,1,9438,1,4,127.6,1,1,35,9,8,122.6,1,0,0,1,0,0,22,0,0,6,7,0,9.57083517,0,0,6,8,0,12.08689682,0,7.6,1.3,0.5,0
2,31,1,9616,1,1,103.6,1,36,34,10,7,132.3,0,0,0,0,0,0,39,0,0,6,0,7,11.06281188,0,6,0,10,3,10.51789628,0,12.3,3.7,2.08,1
1,13,6,8871,1,1,137.6,1,39,35,0,7,119.3,1,0,0,0,0,0,19,0,0,6,0,4,1.16e-06,0,0,6,7,5,13.34853434,0,7.6,3.7,-2.93,1
2,4,1,9546,0,1,119.5,1,16,39,9,1,126.2,1,0,0,1,1,0,58,0,0,6,11,6,9.87035133,0,0,5,11,0,11.46991868,0,10.6,1.3,0.71,1
1,14,1,8884,1,1,138.6,1,4,1,4,10,113.6,0,0,0,0,0,0,19,0,0,6,8,1,9.66904264,0,0,5,7,0,13.03220477,0,12.2,3.7,-4.06,1
1,40,1,9991,1,26,124.5,1,38,34,9,8,139.0,0,0,0,0,1,0,18,0,0,6,0,6,9.99509918,0,0,0,15,2,13.37280056,0,10.9,-0.2,1.33,1
1,1,1,9991,1,1,135.8,1,1,1,4,9,108.9,1,0,0,1,1,0,25,0,0,5,8,5,11.37941304,0,0,6,0,5,11.23996299,0,9.8,-0.3,-4.06,1
2,32,2,8968,1,1,116.8,1,35,34,8,11,144.3,1,0,0,1,1,0,24,0,0,0,8,5,3.491e-05,0,7,5,9,3,11.61062392,0,13.6,-0.8,1.44,1
1,44,1,8823,1,37,137.2,1,5,16,4,9,127.7,1,0,0,1,0,0,18,0,0,6,7,12,12.44716238,0,0,6,0,4,10.17720396,0,7.6,2.9,-1.73,1
1,36,1,9439,1,1,138.5,1,38,17,8,7,121.7,1,0,0,1,0,0,21,0,0,6,0,5,8.48288698,0,7,6,8,0,13.25479189,0,15.5,3.0,3.51,1
1,44,1,9991,1,1,138.9,1,23,35,8,10,96.4,0,0,0,1,0,0,19,0,0,6,5,8,14.66215183,0,0,6,4,3,2.75e-06,0,12.2,1.9,3.51,1
1,16,3,8955,1,1,137.8,1,37,19,8,13,136.9,1,0,0,1,0,0,19,0,0,8,0,19,12.47998233,0,0,5,8,3,9.02448166,0,7.6,0.8,-2.95,1
1,1,1,9376,1,10,139.5,1,39,3,8,11,130.8,1,0,0,1,1,0,19,0,0,5,7,0,16.03310206,0,0,5,14,1,13.78168758,0,12.7,2.8,3.51,1
1,18,1,9642,1,1,142.0,1,38,35,1,8,140.1,1,0,0,1,0,0,24,0,0,6,8,8,11.51983261,0,0,8,7,0,2.8e-07,0,13.3,-0.8,-0.66,1
1,6,1,8921,1,1,137.9,1,21,34,8,6,95.6,1,0,0,0,0,0,19,0,0,7,12,4,8.92527076,0,0,6,12,3,14.22768071,0,10.2,2.9,-3.45,1
1,40,2,8836,1,1,133.5,1,33,35,3,11,136.6,1,0,0,1,1,0,23,0,0,0,0,2,10.36812354,0,0,8,6,4,14.10498264,0,7.6,1.6,1.34,1
1,13,1,8899,1,1,143.8,1,38,1,0,8,100.6,1,0,0,1,0,0,19,0,0,7,9,6,6.3e-07,0,5,6,5,0,11.07023116,0,8.4,1.3,-1.43,1
1,5,1,9561,1,1,133.9,1,36,1,3,11,95.8,1,0,0,1,0,0,20,0,7,9,10,4,6.8e-07,0,0,7,13,6,5.2e-07,1,16.2,1.5,-2.21,1
1,44,1,9474,1,6,127.2,1,1,1,5,11,116.9,0,0,0,0,0,0,18,0,0,7,6,6,10.98410177,0,5,0,0,5,13.78164878,1,13.8,3.7,-4.06,1
1,37,1,7434,1,1,143.7,1,40,1,8,7,105.9,0,0,0,1,0,0,18,0,0,6,7,0,14.96873036,0,0,8,6,2,10.49407875,0,11.4,3.7,1.91,1
1,15,2,9377,1,1,137.1,1,37,36,5,10,135.6,1,0,0,1,0,0,18,0,0,6,9,8,7.21012889,0,0,6,11,6,13.95970515,0,14.3,-0.8,2.23,1
1,13,1,9164,1,1,117.0,1,34,33,8,9,115.0,1,0,0,1,0,0,59,0,0,6,9,17,11.27074359,0,0,6,0,5,12.48950343,0,11.7,0.1,-2.81,1
1,1,1,8968,1,1,135.9,1,1,15,2,8,126.0,1,0,1,1,0,0,60,0,0,6,8,1,11.48045853,0,0,0,9,6,11.2133415,5,13.6,-0.8,-1.23,1
2,35,1,8936,1,1,105.4,1,38,35,2,3,124.7,1,0,0,1,0,0,18,0,0,6,8,4,10.34282873,0,4,6,5,0,8.96592687,0,11.6,2.4,1.92,1
1,40,1,8835,1,1,138.0,1,38,39,8,9,126.8,1,0,0,1,0,0,18,0,0,6,5,9,12.79525033,0,0,6,12,2,13.43455372,0,13.2,2.8,-2.42,1
1,41,1,8956,1,9,137.3,1,35,1,8,3,111.7,0,0,0,1,0,0,19,0,0,6,6,0,9.06289875,0,5,6,8,3,10.84003705,0,7.6,0.5,3.51,1
1,1,1,9132,1,1,138.2,1,39,36,9,6,113.1,0,0,0,1,0,0,19,0,0,6,9,2,9.59178713,0,0,6,14,0,14.25490087,0,10.4,3.0,-3.09,1
2,15,1,9523,1,8,131.5,1,40,34,4,10,117.4,0,0,0,1,0,0,20,0,0,6,7,6,11.68042648,2,0,7,14,4,15.63522871,0,10.1,0.4,-3.02,1
1,38,1,9584,1,1,117.9,1,37,34,3,11,121.3,1,0,0,1,0,0,43,0,0,10,2,20,8.99215345,0,0,6,9,5,10.03780871,0,15.6,-0.8,3.51,1
1,46,1,9451,1,1,137.8,1,36,17,4,11,137.7,1,0,1,1,0,1,19,0,0,6,7,6,2.72e-06,0,0,6,8,0,10.38033345,0,13.0,0.4,-1.32,1
1,41,1,7832,1,1,144.5,1,38,1,8,7,96.3,1,0,0,1,0,0,18,0,0,6,6,12,9.37769271,0,8,6,20,3,14.20097654,0,11.7,3.7,-1.41,0
1,35,1,9430,1,1,106.2,1,1,1,4,11,118.1,1,0,0,1,1,0,18,0,0,6,7,6,9.69772209,0,0,6,11,4,9.42040361,0,8.8,-0.8,1.71,1
1,36,1,9584,1,1,121.7,1,3,37,102,9,99.3,1,0,0,1,0,0,24,0,0,1,10,3,11.3832851,0,5,8,10,3,12.68476857,0,10.2,0.6,3.51,1
1,1,1,7539,0,1,123.6,1,39,1,1,11,127.4,1,0,0,0,0,1,50,0,0,6,5,8,1.08e-06,0,1,6,10,0,4e-07,0,12.1,2.9,0.78,1
2,1,2,9058,1,1,136.4,1,20,37,8,11,124.6,1,0,0,1,0,0,19,0,0,5,7,4,8.43795681,0,0,6,16,3,6.4e-07,0,13.1,-0.2,1.7,1
1,34,4,9991,1,1,147.8,1,2,34,1,12,122.6,1,0,0,1,1,1,22,0,0,6,0,4,10.89712951,0,0,8,7,3,10.97747583,0,12.9,0.4,0.68,1
1,40,1,8010,1,1,138.6,1,33,3,3,6,109.8,1,0,0,1,0,1,20,0,0,6,7,0,8.76680544,0,0,5,6,7,11.23804794,0,8.6,0.4,3.51,1
1,1,1,8835,1,1,123.0,1,37,37,8,3,106.6,1,0,0,1,0,0,29,0,0,7,5,0,1.8e-07,0,0,6,15,8,11.30184022,0,12.0,0.7,0.98,1
1,1,1,8881,1,1,123.5,1,37,18,9,9,96.7,1,0,0,1,0,0,30,0,1,6,8,4,10.22231148,0,0,0,15,0,13.65213036,0,8.6,3.7,1.31,1
1,1,1,9787,1,1,123.7,1,13,35,9,7,128.8,1,0,0,1,0,0,26,0,0,6,6,0,9.53146431,0,0,0,6,3,12.46448467,0,7.6,-0.8,-1.31,1
5,1,1,9991,1,24,135.3,1,36,1,3,10,96.4,1,0,0,1,0,0,18,0,0,6,4,6,2.4e-07,0,0,5,11,3,10.24516175,0,10.7,2.9,0.8,1
1,1,1,9506,1,1,139.3,1,37,34,2,6,132.8,1,0,0,1,0,0,18,0,0,0,6,1,9.58958244,0,0,7,7,5,12.41765305,2,7.6,-0.8,-1.34,1
1,41,1,9342,1,4,135.9,1,40,19,9,10,143.6,1,0,0,1,0,0,22,0,0,6,9,6,13.40575058,0,0,0,10,4,12.29009383,0,8.4,-0.8,-4.06,1
1,33,1,9448,1,1,112.6,1,37,34,8,2,130.3,0,0,0,1,1,0,19,0,0,6,6,7,9.25559457,0,0,6,14,6,16.95296329,0,11.5,1.4,2.18,1
1,42,3,9290,1,1,138.0,1,36,16,3,11,111.7,1,0,0,1,0,0,18,0,0,6,11,0,9.82576729,0,0,5,9,0,11.3999923,0,7.6,3.7,-2.88,1
1,33,1,9796,1,1,119.1,1,19,37,9,11,116.4,1,0,0,1,0,1,21,0,0,6,7,5,8.42381014,0,0,6,15,4,13.12471739,0,13.0,-0.3,3.51,1
1,1,1,9373,1,1,151.9,1,19,35,8,7,106.4,1,0,0,1,0,1,45,0,0,6,8,5,8.80470836,0,9,8,10,5,10.34165998,0,15.4,3.7,-4.06,1
1,34,1,9745,1,1,134.1,1,2,1,0,10,101.6,1,0,0,1,1,0,18,0,0,6,8,13,11.67578459,0,0,6,9,3,15.616037,0,13.9,3.1,2.24,1
1,34,1,9491,1,1,136.4,1,41,36,8,7,109.7,1,0,0,1,0,0,19,0,0,6,0,23,11.521943,0,0,5,18,3,14.84342397,0,15.3,2.8,0.79,1
1,40,2,9071,1,1,144.3,1,35,34,8,2,96.0,1,0,0,1,0,0,19,0,0,6,0,8,11.95693251,0,0,8,5,0,11.57753923,0,12.1,0.6,-2.54,1
1,1,2,9543,1,1,135.5,1,21,36,9,10,147.1,0,0,0,1,0,0,20,0,0,6,7,2,10.61561312,0,0,6,7,3,10.19130552,0,11.0,0.0,3.51,1
1,38,1,9991,1,1,135.4,1,35,16,3,7,111.4,0,0,0,1,0,0,23,0,0,6,6,6,12.3151005,0,0,6,7,4,11.18234514,0,12.6,0.2,1.83,1
1,15,2,9320,1,42,159.1,1,21,1,9,11,111.7,1,0,0,1,0,0,51,0,0,5,8,7,11.6726499,0,0,8,15,3,11.69586864,0,11.6,-0.8,1.68,1
